Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Day of Departure,Time of Departure,WeatherDelay,NASDelay,SecurityDelay,CarrierDelay,ArrivalDelay,DepartureDelay,Year,Month,DepartureHour,Route,IsDelayed,IsCancelled
ElI7AK,Peyter,Spacy,Male,38,China,Greenwood County Airport,US,United States,NAM,North America,2022-11-26,GRD,Boonie Getsham,Delayed,Sunday,2026-03-13 05:06:33,31,74,87,30,49,45,2022,11,5,Greenwood County Airport - GRD,1,0
WvLfsk,Carr,Wyllcocks,Male,79,China,Upala Airport,CR,Costa Rica,NAM,North America,2022-12-23,UPL,Fayina Hewins,Cancelled,Monday,2026-03-13 21:25:31,97,143,28,64,86,82,2022,12,21,Upala Airport - UPL,0,1
n7PF9d,Dore,Blondell,Female,67,Canada,Wollogorang Airport,AU,Australia,OC,Oceania,2022-09-28,WLL,Bartie Symcock,On Time,Monday,2026-03-13 04:14:07,20,60,81,19,34,30,2022,9,4,Wollogorang Airport - WLL,0,0
d3LZf0,Galina,Almeida,Female,87,China,Lissadell Airport,AU,Australia,OC,Oceania,2022-06-08,LLL,Wenda Bartholomaus,Delayed,Monday,2026-03-13 14:38:29,75,125,35,46,68,63,2022,6,14,Lissadell Airport - LLL,1,0
xeK7iR,Derwin,Jezzard,Male,29,Lithuania,Lambarene Airport,GA,Gabon,AF,Africa,2022-12-04,LBQ,Otha Newing,Cancelled,Monday,2026-03-13 08:22:59,13,48,62,2,5,3,2022,12,8,Lambarene Airport - LBQ,0,1
N7DLfQ,Jermaine,Escott,Male,90,Portugal,Northeast Alabama Regional Airport,US,United States,NAM,North America,2022-07-15,GAD,Freedman Concannon,Delayed,Tuesday,2026-03-13 18:22:09,84,131,44,80,101,97,2022,7,18,Northeast Alabama Regional Airport - GAD,1,0
tEPLJa,Jeanne,Moncreif,Female,71,Benin,Tarko-Sale Airport,RU,Russian Federation,AS,Asia,2022-07-16,TQL,Margy Kidner,On Time,Tuesday,2026-03-13 18:42:12,36,83,93,25,43,40,2022,7,18,Tarko-Sale Airport - TQL,0,0
AadZEp,Mordecai,Regus,Male,4,China,Miramichi Airport,CA,Canada,NAM,North America,2022-02-09,YCH,Nert Ferreo,Cancelled,Tuesday,2026-03-13 18:37:48,1,12,6,58,79,76,2022,2,18,Miramichi Airport - YCH,0,1
JCU3th,Kingsly,Micco,Male,89,Ireland,Sarzana-Luni Air Base,IT,Italy,EU,Europe,2022-09-24,QLP,Emelita Rihosek,Cancelled,Thursday,2026-03-13 21:25:22,49,100,57,35,56,52,2022,9,21,Sarzana-Luni Air Base - QLP,0,1
As7NGT,Lydia,Rathbourne,Female,7,Brazil,Moranbah Airport,AU,Australia,OC,Oceania,2022-08-16,MOV,Wake Von Oertzen,On Time,Friday,2026-03-13 18:03:57,92,137,26,66,88,83,2022,8,18,Moranbah Airport - MOV,0,0
ADfNJA,Clayborn,Sneller,Male,3,Indonesia,Eastern WV Regional Airport/Shepherd Field,US,United States,NAM,North America,2022-03-12,MRB,Cordy Measey,On Time,Friday,2026-03-13 02:30:21,17,55,73,14,27,22,2022,3,2,Eastern WV Regional Airport/Shepherd Field - MRB,0,0
7YVmmV,Claudina,Grane,Female,36,Japan,Cururupu Airport,BR,Brazil,SAM,South America,2022-05-03,CPU,Clovis Rays,On Time,Friday,2026-03-13 20:11:59,64,108,39,73,94,90,2022,5,20,Cururupu Airport - CPU,0,0
NCpexU,Butch,Shakelade,Male,81,Uruguay,Provideniya Bay Airport,RU,Russian Federation,EU,Europe,2022-10-07,PVS,Zondra Desvignes,On Time,Saturday,2026-03-13 23:42:21,29,67,82,28,45,41,2022,10,23,Provideniya Bay Airport - PVS,0,0
WtkmGG,Risa,Elce,Female,27,Indonesia,Nakashibetsu Airport,JP,Japan,AS,Asia,2022-11-25,SHB,Alisha Dimitresco,On Time,Saturday,2026-03-13 11:35:36,6,21,15,40,62,57,2022,11,11,Nakashibetsu Airport - SHB,0,0
Z2Pank,Suki,McVie,Female,82,Peru,Siglufjörður Airport,IS,Iceland,EU,Europe,2022-03-03,SIJ,Anne Cavanaugh,On Time,Sunday,2026-03-13 19:34:08,57,114,54,6,11,9,2022,3,19,Siglufjörður Airport - SIJ,0,0
TKVbha,Claudian,Whytock,Male,19,Uzbekistan,Shanghai Hongqiao International Airport,CN,China,AS,Asia,2022-10-17,SHA,Harrietta Tuffey,Cancelled,Tuesday,2026-03-13 05:00:02,81,127,42,85,106,101,2022,10,5,Shanghai Hongqiao International Airport - SHA,0,1
1QUTSM,Fallon,Inchley,Female,44,China,Gustavo Artunduaga Paredes Airport,CO,Colombia,SAM,South America,2022-08-13,FLA,Celestina Macklin,Cancelled,Wednesday,2026-03-13 13:44:14,34,79,96,21,36,32,2022,8,13,Gustavo Artunduaga Paredes Airport - FLA,0,1
y5E9QR,Phelia,Feben,Female,55,Palestinian Territory,Ruby Airport,US,United States,NAM,North America,2022-09-03,RBY,Duff Durtnall,Delayed,Wednesday,2026-03-13 09:21:49,22,63,68,59,81,77,2022,9,9,Ruby Airport - RBY,1,0
uyueRs,Borden,Cartmael,Male,31,Poland,Dongshan Airport,CN,China,AS,Asia,2022-02-27,HLD,Thorndike Gladbeck,On Time,Thursday,2026-03-13 16:21:00,90,135,27,31,51,47,2022,2,16,Dongshan Airport - HLD,0,0
JI0IHR,Paten,Bonfield,Male,87,China,Goulburn Airport,AU,Australia,OC,Oceania,2022-01-28,GUL,Shel Impy,Delayed,Thursday,2026-03-13 21:08:59,40,91,59,68,89,84,2022,1,21,Goulburn Airport - GUL,1,0
RWqcMj,Bibi,Corbridge,Female,78,China,Shark Bay Airport,AU,Australia,OC,Oceania,2022-09-17,MJK,Hastings Craw,Cancelled,Thursday,2026-03-13 08:08:03,15,47,84,12,24,20,2022,9,8,Shark Bay Airport - MJK,0,1
cZo5F2,Pet,Izachik,Female,44,China,Rimouski Airport,CA,Canada,NAM,North America,2022-10-11,YXK,Wilburt Bruggen,On Time,Friday,2026-03-13 23:47:47,69,109,38,76,97,92,2022,10,23,Rimouski Airport - YXK,0,0
KqxXim,Alexandro,Curwood,Male,15,Russia,Hongyuan Airport,CN,China,AS,Asia,2022-02-21,AHJ,Sigismund Kristiansen,Cancelled,Friday,2026-03-13 02:46:19,26,72,71,34,55,50,2022,2,2,Hongyuan Airport - AHJ,0,1
2PNctg,Ermina,Ells,Female,16,Indonesia,Capitan Nicolas Rojas Airport,BO,"Bolivia, Plurinational State of",SAM,South America,2022-03-30,POI,Joceline Reedyhough,Cancelled,Saturday,2026-03-13 14:15:20,53,115,32,49,70,66,2022,3,14,Capitan Nicolas Rojas Airport - POI,0,1
L0UBb1,Rikki,Blaszczyk,Female,12,China,Viña del mar Airport,CL,Chile,SAM,South America,2022-03-08,KNA,Lilias McEntee,On Time,Saturday,2026-03-13 03:06:24,98,144,23,7,13,10,2022,3,3,Viña del mar Airport - KNA,0,0
4iEjq7,Annelise,Kinnar,Female,12,Slovenia,Aksu Airport,CN,China,AS,Asia,2022-03-10,AKU,Issie Heims,Cancelled,Monday,2026-03-13 13:39:29,32,76,89,92,115,109,2022,3,13,Aksu Airport - AKU,0,1
2oJyva,Allis,Cale,Female,84,Spain,Cardiff International Airport,GB,United Kingdom,EU,Europe,2022-10-30,CWL,Analise Colnett,Cancelled,Tuesday,2026-03-13 04:57:04,7,24,13,18,32,28,2022,10,4,Cardiff International Airport - CWL,0,1
iDVDFr,Adey,Treamayne,Female,7,Malaysia,Valdez Pioneer Field,US,United States,NAM,North America,2022-01-03,VDZ,Laird Treadgall,Cancelled,Wednesday,2026-03-13 02:19:27,60,103,65,61,83,78,2022,1,2,Valdez Pioneer Field - VDZ,0,1
Gnxhzq,Nathalie,Bilam,Female,48,Belarus,Ryan's Creek Aerodrome,NZ,New Zealand,OC,Oceania,2022-09-18,SZS,Shena Pidgeon,Delayed,Thursday,2026-03-13 00:29:30,85,130,49,26,41,37,2022,9,0,Ryan's Creek Aerodrome - SZS,1,0
EYQwrW,Harmony,Gow,Female,7,Canada,Bromont (Roland Desourdy) Airport,CA,Canada,NAM,North America,2022-10-09,ZBM,Ellery Astill,Cancelled,Friday,2026-03-13 06:10:51,38,86,78,54,74,69,2022,10,6,Bromont (Roland Desourdy) Airport - ZBM,0,1
riyI2j,Glen,Hearthfield,Male,6,Indonesia,North Island Naval Air Station-Halsey Field,US,United States,NAM,North America,2022-10-24,NZY,Bellanca Pennoni,Cancelled,Saturday,2026-03-13 16:26:46,18,50,97,37,57,53,2022,10,16,North Island Naval Air Station-Halsey Field - NZY,0,1
dCu9Li,Rina,Pitrollo,Female,81,China,Dimapur Airport,IN,India,AS,Asia,2022-10-29,DMU,Ardisj Zaple,Delayed,Saturday,2026-03-13 05:33:07,74,119,43,65,87,82,2022,10,5,Dimapur Airport - DMU,1,0
bO15vR,Reyna,Beckinsale,Female,82,Sierra Leone,Mariana Grajales Airport,CU,Cuba,NAM,North America,2022-02-24,GAO,Haroun Pizer,On Time,Monday,2026-03-13 11:26:01,30,68,75,15,28,23,2022,2,11,Mariana Grajales Airport - GAO,0,0
ljKGOg,Tessa,Bladge,Female,82,Brazil,Idaho Falls Regional Airport,US,United States,NAM,North America,2022-07-27,IDA,Jock Sibbson,Cancelled,Tuesday,2026-03-13 14:05:21,95,138,22,71,91,86,2022,7,14,Idaho Falls Regional Airport - IDA,0,1
vCZ2HD,Lowell,Benedit,Male,87,China,Vista Field,US,United States,NAM,North America,2022-04-14,VSK,Kin Carwithan,Delayed,Sunday,2026-03-13 03:37:35,45,93,66,23,39,35,2022,4,3,Vista Field - VSK,1,0
2jtnEk,Joyce,Bridgman,Female,73,Macedonia,Tenente Lund Pressoto Airport,BR,Brazil,SAM,South America,2022-04-27,FRC,Bel Suggitt,Delayed,Monday,2026-03-13 09:04:33,12,35,16,43,65,60,2022,4,9,Tenente Lund Pressoto Airport - FRC,1,0
NVclTK,Stanton,Pitrelli,Male,52,Philippines,Federico Garcia Lorca Airport,ES,Spain,EU,Europe,2022-06-18,GRX,Merwin Curneen,Delayed,Monday,2026-03-13 04:29:20,71,117,51,5,8,6,2022,6,4,Federico Garcia Lorca Airport - GRX,1,0
nwj7KY,Kristo,Cobbin,Male,51,Brazil,Capitan FAP Carlos Martinez De Pinillos International Airport,PE,Peru,SAM,South America,2022-10-08,TRU,Walliw Rambadt,Cancelled,Monday,2026-03-13 02:45:59,99,146,24,78,100,95,2022,10,2,Capitan FAP Carlos Martinez De Pinillos International Airport - TRU,0,1
4whJ9j,Reggy,Rysom,Male,39,Indonesia,Deer Lake Airport,CA,Canada,NAM,North America,2022-09-12,YDF,Mahmoud Drepp,Delayed,Tuesday,2026-03-13 07:49:11,43,89,74,20,34,30,2022,9,7,Deer Lake Airport - YDF,1,0
Z5m811,Francyne,Shalcros,Female,49,China,Cruz Bay Seaplane Base,VI,"Virgin Islands, U.S.",NAM,North America,2022-02-06,SJF,Mata Bart,Cancelled,Wednesday,2026-03-13 14:45:57,23,59,92,56,77,73,2022,2,14,Cruz Bay Seaplane Base - SJF,0,1
Ua0i2K,Normy,Dome,Male,42,Honduras,Williamsport Regional Airport,US,United States,NAM,North America,2022-02-21,IPT,Heywood Sopp,Cancelled,Wednesday,2026-03-13 04:31:27,56,112,34,29,48,44,2022,2,4,Williamsport Regional Airport - IPT,0,1
ysRNXw,Bab,Ashby,Female,34,South Africa,Wollongong Airport,AU,Australia,OC,Oceania,2022-11-28,WOL,Pen Baxstare,On Time,Wednesday,2026-03-13 17:14:51,82,124,63,67,90,85,2022,11,17,Wollongong Airport - WOL,0,0
vcpsrj,Kale,Dunniom,Male,9,Brazil,Paranaguá Airport,BR,Brazil,SAM,South America,2022-07-22,PNG,Stirling Laurentino,Delayed,Wednesday,2026-03-13 11:03:10,14,41,85,11,19,16,2022,7,11,Paranaguá Airport - PNG,1,0
63gA3h,Constantino,Message,Male,11,Moldova,Mukah Airport,MY,Malaysia,AS,Asia,2022-04-02,MKM,Misty Amoore,On Time,Thursday,2026-03-13 17:26:19,67,106,29,84,105,100,2022,4,17,Mukah Airport - MKM,0,0
EyOEvT,Cy,Mannagh,Male,54,Switzerland,Doris Lake,CA,Canada,NAM,North America,2022-06-08,JOJ,Howard Harken,Delayed,Saturday,2026-03-13 05:06:44,48,98,58,23,45,38,2022,6,5,Doris Lake - JOJ,1,0
fZhPqR,Valdemar,Whate,Male,90,Brazil,Northeast Florida Regional Airport,US,United States,NAM,North America,2022-09-10,UST,Flinn Greenlees,On Time,Sunday,2026-03-13 13:15:11,5,27,10,12,30,27,2022,9,13,Northeast Florida Regional Airport - UST,0,0
FmbrkE,Dinny,Soppit,Female,21,Nepal,Lae Island Airport,MH,Marshall Islands,OC,Oceania,2022-08-05,LML,Amaleta Lethbrig,On Time,Monday,2026-03-13 20:25:07,79,123,69,45,60,55,2022,8,20,Lae Island Airport - LML,0,0
p1OAw2,Eldin,Manhood,Male,87,France,Norman Manley International Airport,JM,Jamaica,NAM,North America,2022-06-23,KIN,Frederich Dwane,Cancelled,Monday,2026-03-13 17:42:21,102,145,32,8,18,12,2022,6,17,Norman Manley International Airport - KIN,0,1
g8unD1,Cleon,De Maine,Male,31,Belgium,28 de Noviembre Airport,AR,Argentina,SAM,South America,2022-08-19,RYO,Morgana Cowdrey,Delayed,Tuesday,2026-03-13 00:29:39,1,51,110,67,80,75,2022,8,0,28 de Noviembre Airport - RYO,1,0
Z1STt8,Kelwin,Dorward,Male,82,Argentina,Duncan Town Airport,BS,Bahamas,NAM,North America,2022-05-26,DCT,Renault Lagneaux,On Time,Wednesday,2026-03-13 07:21:25,2,92,110,34,50,46,2022,5,7,Duncan Town Airport - DCT,0,0
u2JfYk,Giraud,Harlin,Male,29,China,Gerrard Smith International Airport,KY,Cayman Islands,NAM,North America,2022-02-11,CYB,Matthieu Shearsby,On Time,Thursday,2026-03-13 10:47:58,3,14,33,5,10,8,2022,2,10,Gerrard Smith International Airport - CYB,0,0
XEsBZ6,Prescott,Vondruska,Male,41,Thailand,Moises R. Espinosa Airport,PH,Philippines,AS,Asia,2022-12-03,MBT,Chrissie Vinten,Delayed,Thursday,2026-03-13 06:34:10,87,132,41,90,110,105,2022,12,6,Moises R. Espinosa Airport - MBT,1,0
hYmyE8,Alla,Peniman,Female,62,China,Yeniseysk Airport,RU,Russian Federation,AS,Asia,2022-12-12,EIE,Nikita Nuth,Cancelled,Thursday,2026-03-13 03:49:41,12,78,95,14,25,20,2022,12,3,Yeniseysk Airport - EIE,0,1
EdCdWY,Arturo,Bonsale,Male,42,Indonesia,Arad International Airport,RO,Romania,EU,Europe,2022-11-08,ARW,Ellynn Feaver,On Time,Friday,2026-03-13 18:59:01,4,23,18,39,55,50,2022,11,18,Arad International Airport - ARW,0,0
U6AMCP,Carlen,Dives,Female,85,Colombia,Chandalar Lake Airport,US,United States,NAM,North America,2022-04-27,WCR,Robinett Rickford,Cancelled,Friday,2026-03-13 10:47:30,65,141,60,72,95,88,2022,4,10,Chandalar Lake Airport - WCR,0,1
mhSUVI,Oswell,Giercke,Male,29,Indonesia,Bisbee Douglas International Airport,US,United States,NAM,North America,2022-02-27,DUG,Flem Barmadier,On Time,Friday,2026-03-13 20:58:37,23,54,77,18,40,35,2022,2,20,Bisbee Douglas International Airport - DUG,0,0
REozih,Ariel,Merrill,Male,50,Iraq,Ontario International Airport,US,United States,NAM,North America,2022-08-11,ONT,Anabel Philipps,Delayed,Friday,2026-03-13 08:33:57,91,110,34,6,12,10,2022,8,8,Ontario International Airport - ONT,1,0
Pf3WP9,Carol,Horry,Female,10,China,Ralph C Weiser Field,US,United States,NAM,North America,2022-09-06,AGO,Issie Gauler,On Time,Saturday,2026-03-13 21:15:50,8,17,92,55,70,64,2022,9,21,Ralph C Weiser Field - AGO,0,0
R2fay6,Erminie,Ipgrave,Female,48,Spain,Yinchuan Hedong International Airport,CN,China,AS,Asia,2022-03-23,INC,Belicia Crumley,Delayed,Saturday,2026-03-13 09:22:22,44,73,55,28,48,44,2022,3,9,Yinchuan Hedong International Airport - INC,1,0
rj6MJ6,Carlyle,Gallagher,Male,73,Sweden,Central Illinois Regional Airport at Bloomington-Normal,US,United States,NAM,North America,2022-03-09,BMI,Lorry Hunting,On Time,Saturday,2026-03-13 09:34:57,39,126,21,41,63,58,2022,3,9,Central Illinois Regional Airport at Bloomington-Normal - BMI,0,0
IMX2L3,Frederica,Joselovitch,Female,60,Indonesia,Totness Airport,SR,Suriname,SAM,South America,2022-01-08,TOT,Dwayne Orvis,On Time,Sunday,2026-03-13 23:10:34,72,88,64,3,7,5,2022,1,23,Totness Airport - TOT,0,0
a5ksag,Toni,Aiston,Female,74,Finland,Muskrat Dam Airport,CA,Canada,NAM,North America,2022-06-13,MSA,Tiphanie Hugnot,On Time,Sunday,2026-03-13 16:50:28,5,34,11,60,82,79,2022,6,16,Muskrat Dam Airport - MSA,0,0
IRZClL,Perrine,Danton,Female,8,Indonesia,Wausau Downtown Airport,US,United States,NAM,North America,2022-04-06,AUW,Malinda Ingliby,Delayed,Sunday,2026-03-13 01:36:06,63,97,45,21,37,33,2022,4,1,Wausau Downtown Airport - AUW,1,0
6P6kyL,Dominga,Denys,Female,35,Ukraine,Saumlaki/Olilit Airport,ID,Indonesia,AS,Asia,2022-10-25,SXK,Carmine Elford,On Time,Monday,2026-03-13 07:44:01,18,66,83,47,69,65,2022,10,7,Saumlaki/Olilit Airport - SXK,0,0
gASI2b,Fleurette,Kenford,Female,16,Portugal,Twentynine Palms Airport,US,United States,NAM,North America,2022-10-26,TNP,Aluino Miskimmon,Cancelled,Wednesday,2026-03-13 05:27:19,101,142,29,10,22,18,2022,10,5,Twentynine Palms Airport - TNP,0,1
4jadzD,Bryce,De Moreno,Male,12,Chile,Kiwayu Airport,KE,Kenya,AF,Africa,2022-01-09,KWY,Kristos Player,Delayed,Thursday,2026-03-13 12:58:10,27,51,74,83,104,98,2022,1,12,Kiwayu Airport - KWY,1,0
mujlut,Pavla,Matz,Female,2,Ukraine,Nuku Airport,PG,Papua New Guinea,OC,Oceania,2022-08-07,UKU,Sindee Jones,On Time,Friday,2026-03-13 03:29:14,9,19,63,26,44,40,2022,8,3,Nuku Airport - UKU,0,0
18Cekh,Abe,Santos,Male,40,Croatia,Vila Bela da Santíssima Trindade Airport,BR,Brazil,SAM,South America,2022-05-05,MTG,Fiona Platts,Cancelled,Friday,2026-03-13 09:57:34,54,104,37,36,58,54,2022,5,9,Vila Bela da Santíssima Trindade Airport - MTG,0,1
I1qyGs,Randy,Greystock,Female,27,China,Palacios Municipal Airport,US,United States,NAM,North America,2022-05-26,PSX,Ricki Cowwell,Delayed,Friday,2026-03-13 02:05:43,33,82,90,15,28,24,2022,5,2,Palacios Municipal Airport - PSX,1,0
hD7mfv,Isador,Grist,Male,66,Portugal,Kaili Airport,CN,China,AS,Asia,2022-09-17,KJH,Saxe Krinks,On Time,Saturday,2026-03-13 04:07:25,70,121,48,69,90,86,2022,9,4,Kaili Airport - KJH,0,0
EyVcfa,Brendan,Bockh,Male,5,Yemen,Playón Chico Airport,PA,Panama,NAM,North America,2022-09-15,PYC,Bab Catcherside,Cancelled,Saturday,2026-03-13 17:15:42,2,11,7,31,52,49,2022,9,17,Playón Chico Airport - PYC,0,1
gSvBJh,Rustin,Dilrew,Male,49,Uganda,Helmuth Baungarten Airport,BR,Brazil,SAM,South America,2022-12-05,LOI,Jeffrey MacInerney,On Time,Saturday,2026-03-13 21:06:05,46,92,53,52,73,70,2022,12,21,Helmuth Baungarten Airport - LOI,0,0
xPBtVg,Ammamaria,Gladdin,Female,4,Azerbaijan,Sesheke Airport,ZM,Zambia,AF,Africa,2022-04-02,SJQ,Jae Brownsey,Cancelled,Monday,2026-03-13 00:52:53,77,136,25,7,14,11,2022,4,0,Sesheke Airport - SJQ,0,1
VfAZbk,Keen,Gleeson,Male,62,China,Delissaville Airport,AU,Australia,OC,Oceania,2022-10-30,DLV,Amble Meggison,Cancelled,Monday,2026-03-13 12:35:17,14,57,69,95,120,115,2022,10,12,Delissaville Airport - DLV,0,1
6Qb2w2,Francklin,Witheridge,Male,56,Syria,Tocumwal Airport,AU,Australia,OC,Oceania,2022-10-19,TCW,Sullivan Cheak,Cancelled,Monday,2026-03-13 02:15:56,6,28,80,17,33,29,2022,10,2,Tocumwal Airport - TCW,0,1
7DFy3v,Nathanael,Brockest,Male,3,Portugal,Rochester Airport,GB,United Kingdom,EU,Europe,2022-01-08,RCS,Reyna Creavin,On Time,Monday,2026-03-13 10:58:26,59,118,36,63,85,80,2022,1,10,Rochester Airport - RCS,0,0
sCs3bs,Dara,Frere,Female,73,Indonesia,Uru Harbour Airport,SB,Solomon Islands,OC,Oceania,2022-04-01,ATD,Faustine Greenhowe,On Time,Tuesday,2026-03-13 08:36:52,21,75,94,24,42,39,2022,4,8,Uru Harbour Airport - ATD,0,0
BvGnN7,Bartholemy,Reuther,Male,70,Philippines,Luis Munoz Marin International Airport,PR,Puerto Rico,NAM,North America,2022-10-04,SJU,Elfreda Iorizzo,Cancelled,Thursday,2026-03-13 23:13:00,83,129,52,44,66,60,2022,10,23,Luis Munoz Marin International Airport - SJU,0,1
5RS1O3,Arnie,Kite,Male,63,Indonesia,Sua Pan Airport,BW,Botswana,AF,Africa,2022-09-16,SXN,Katinka Vickars,On Time,Thursday,2026-03-13 05:37:36,35,64,20,11,21,17,2022,9,5,Sua Pan Airport - SXN,0,0
xXXiHF,Candie,Spybey,Female,67,China,Herrera Airport,DO,Dominican Republic,NAM,North America,2022-07-20,HEX,Shina Davidge,Cancelled,Friday,2026-03-13 19:25:51,96,140,47,74,96,92,2022,7,19,Herrera Airport - HEX,0,1
PP1gBl,Minda,Gault,Female,86,China,Hihifo Airport,WF,Wallis and Futuna,OC,Oceania,2022-01-22,WLS,Sigrid Geach,Cancelled,Friday,2026-03-13 00:44:24,11,43,61,29,47,43,2022,1,0,Hihifo Airport - WLS,0,1
oMMFOl,Aileen,Olyff,Female,48,Brazil,Carurú Airport,CO,Colombia,SAM,South America,2022-08-05,CUO,Arron Bowgen,On Time,Friday,2026-03-13 22:59:39,24,71,88,38,59,56,2022,8,22,Carurú Airport - CUO,0,0
4A1RW3,Yetta,Janout,Female,85,Philippines,Great Bear Lake Airport,CA,Canada,NAM,North America,2022-06-14,DAS,Perrine Scroggs,On Time,Friday,2026-03-13 17:56:42,68,107,30,13,26,23,2022,6,17,Great Bear Lake Airport - DAS,0,0
STCxLL,Stanislas,Tesauro,Male,10,Kazakhstan,Jardines Del Rey Airport,CU,Cuba,NAM,North America,2022-02-19,CCC,Marc Chatteris,Cancelled,Saturday,2026-03-13 04:21:49,41,95,72,57,78,74,2022,2,4,Jardines Del Rey Airport - CCC,0,1
66UOXN,Robenia,Troth,Female,49,Peru,Enfidha - Hammamet International Airport,TN,Tunisia,AF,Africa,2022-08-08,NBE,Min Phippen,On Time,Sunday,2026-03-13 14:37:56,3,15,12,32,53,48,2022,8,14,Enfidha - Hammamet International Airport - NBE,0,0
Y2VCjl,Marjie,Newbigging,Female,39,Vietnam,Menara Airport,MA,Morocco,AF,Africa,2022-09-13,RAK,Victor Windle,Cancelled,Monday,2026-03-13 11:22:12,52,113,56,48,71,68,2022,9,11,Menara Airport - RAK,0,1
69eDKE,Alexandro,Christiensen,Male,46,United States,Nambucca Heads Airport,AU,Australia,OC,Oceania,2022-04-13,NBH,Hendrick Hexham,On Time,Monday,2026-03-13 03:40:18,88,134,40,9,16,13,2022,4,3,Nambucca Heads Airport - NBH,0,0
oQYt1Y,Nickolas,Raynham,Male,41,China,Wiseman Airport,US,United States,NAM,North America,2022-01-31,WSM,Danice Gonnelly,Delayed,Monday,2026-03-13 00:06:39,16,49,79,88,108,102,2022,1,0,Wiseman Airport - WSM,1,0
cc1iuh,Burlie,Johnstone,Male,45,East Timor,Prince Mangosuthu Buthelezi Airport,ZA,South Africa,AF,Africa,2022-02-14,ULD,Frannie Fiorentino,Delayed,Tuesday,2026-03-13 09:08:29,73,120,33,20,35,31,2022,2,9,Prince Mangosuthu Buthelezi Airport - ULD,1,0
ilWlNE,Glenine,Southby,Female,48,Netherlands,Wichita Eisenhower National Airport,US,United States,NAM,North America,2022-10-18,ICT,Pierrette Brinkler,Cancelled,Wednesday,2026-03-13 07:25:30,28,62,85,62,84,79,2022,10,7,Wichita Eisenhower National Airport - ICT,0,1
mZGTSQ,Morley,Metham,Male,22,Japan,La Tuque Airport,CA,Canada,NAM,North America,2022-11-02,YLQ,Levey Flay,Cancelled,Wednesday,2026-03-13 10:53:54,7,22,9,27,46,41,2022,11,10,La Tuque Airport - YLQ,0,1
J56eaX,Griffin,Farrent,Male,26,Armenia,Yibin Caiba Airport,CN,China,AS,Asia,2022-12-28,YBP,Randi Proom,On Time,Wednesday,2026-03-13 02:10:58,61,102,50,50,72,69,2022,12,2,Yibin Caiba Airport - YBP,0,0
avfFnG,Stearne,Arrundale,Male,79,Colombia,Coban Airport,GT,Guatemala,NAM,North America,2022-09-04,CBV,Blanca Jodrelle,Cancelled,Thursday,2026-03-13 13:50:47,94,139,24,16,29,25,2022,9,13,Coban Airport - CBV,0,1
lVVLI3,Colver,O'Loughlin,Male,29,China,Noonkanbah Airport,AU,Australia,OC,Oceania,2022-12-28,NKB,Gardner Totaro,On Time,Saturday,2026-03-13 09:06:45,37,84,67,70,93,89,2022,12,9,Noonkanbah Airport - NKB,0,0
XK8CZE,Merilee,Boothroyd,Female,83,Greece,Zhob Airport,PK,Pakistan,AS,Asia,2022-01-19,PZH,Jarrid Curm,Cancelled,Saturday,2026-03-13 18:36:48,19,53,91,33,54,50,2022,1,18,Zhob Airport - PZH,0,1
PP8FV6,Edouard,Coope,Male,10,Marshall Islands,Tumolbil Airport,PG,Papua New Guinea,OC,Oceania,2022-01-03,TLP,Karna Oyley,Delayed,Saturday,2026-03-13 00:28:31,80,128,46,42,64,61,2022,1,0,Tumolbil Airport - TLP,1,0
FzQTHu,Marcellina,Wealthall,Female,16,Georgia,Konya Airport,TR,Turkey,AS,Asia,2022-10-17,KYA,Cinda Dumbrall,Delayed,Saturday,2026-03-13 14:05:00,25,69,76,4,9,7,2022,10,14,Konya Airport - KYA,1,0
1qzOhG,Albertina,Twiname,Female,16,Poland,Sármellék International Airport,HU,Hungary,EU,Europe,2022-04-22,SOB,Letisha Steffans,Delayed,Saturday,2026-03-13 22:57:42,58,116,31,77,99,95,2022,4,22,Sármellék International Airport - SOB,1,0
MQtUGG,Steffie,Vicker,Female,70,Philippines,St Jean Airport,CA,Canada,NAM,North America,2022-09-08,YJN,Binni Rouzet,On Time,Sunday,2026-03-13 18:37:09,42,90,58,22,38,34,2022,9,18,St Jean Airport - YJN,0,0
zDUgpC,Lamar,Tebbet,Male,53,Serbia,La Ronge Airport,CA,Canada,NAM,North America,2022-05-12,YVC,Nevile Ishchenko,Cancelled,Sunday,2026-03-13 13:32:07,10,36,14,53,75,71,2022,5,13,La Ronge Airport - YVC,0,1
mDr6FP,Shell,Calderhead,Female,4,Ukraine,Wollongong Airport,AU,Australia,OC,Oceania,2022-03-23,WOL,Mady Habershon,Delayed,Sunday,2026-03-13 12:37:38,66,111,70,30,49,45,2022,3,12,Wollongong Airport - WOL,1,0
OUClrJ,Robin,Burris,Female,39,Russia,St Louis Regional Airport,US,United States,NAM,North America,2022-10-10,ALN,Urson Kiellor,Delayed,Monday,2026-03-13 09:29:16,31,74,87,64,86,82,2022,10,9,St Louis Regional Airport - ALN,1,0
